id,dimension_pair,question,option_a_text,option_a_code,option_b_text,option_b_code
1,EI,,처음보는 사람과도 쉽게 이야기할 수 있다,E,친한 사람이나 친구가 없는 모임은 불편하다,I
2,SN,,이불처럼 폭신한 구름을 상상할 수 있다,S,상상 속의 이야기를 잘 만들어낸다,N
3,TF,,참을성이 있다는 말을 자주 듣는다,T,주위에 불쌍한 사람을 보면 마음 아프고 도와주고 싶다,F
4,JP,,대체로 공부나 할 일을 미리 해놓고 계획적으로 움직인다,J,계획보다는 닥친 일에 맞춰 유연하게 행동한다,P

5,EI,,모르는 사람들과 쉽게 친해진다,E,친구를 쉽게 사귀는 편이 아니다,I
6,SN,,주변 사람들의 변화를 잘 눈치챈다,S,중요한 물건을 자주 잃어버린다,N
7,TF,,평소에 침착하고 차분한 편이다,T,감정 기복이 심한 편이다,F
8,JP,,계획에 따라 움직이는 것이 편하다,J,즉흥적으로 하는 것이 더 편하다,P

9,EI,,여기 저기 돌아다니는 걸 좋아한다,E,집에서 조용히 있는 것이 더 좋다,I
10,SN,,꾸준하게 하는 일을 잘한다,S,독특하고 창의적으로 하는 것을 좋아한다,N
11,TF,,성공한 사람을 보면 노력과 실력을 떠올린다,T,성공한 사람을 보면 운도 중요하다고 생각한다,F
12,JP,,계획적인 생활을 선호한다,J,그때그때 상황에 맞춰 움직인다,P

13,EI,,모임에서 분위기를 이끄는 편이다,E,조용히 듣는 편이다,I
14,SN,,혼자 놀거나 조용히 공부할 때 집중이 잘 된다,S,다른 아이들이 생각하는 게 궁금하다,N
15,TF,,참을성이 강한 편이다,T,주위에 불쌍한 사람을 보면 감정이 흔들린다,F
16,JP,,계획을 세우면 그대로 지키는 편이다,J,상황에 따라 계획이 바뀌어도 괜찮다,P

17,EI,,슬프거나 기쁜 감정 표현을 잘한다,E,감정 표현이 서투른 편이다,I
18,SN,,먼저 여러 번 생각해 행동한다,S,손으로 직접 만지며 배우는 편이다,N
19,TF,,이성적으로 판단하는 편이다,T,약한 사람을 보면 그냥 지나치기 어렵다,F
20,JP,,시험 규칙을 잘 지킨다,J,규칙에 얽매이지 않는 편이다,P

21,EI,,활발하고 외향적인 편이다,E,내성적이고 조용한 편이다,I
22,SN,,부끄러움을 쉽게 타는 편이다,S,꼼꼼함보다는 상상 속의 일이 더 좋다,N
23,TF,,주변 사람들의 의견보다 자신의 논리를 따른다,T,감정이 판단에 크게 영향을 준다,F
24,JP,,새로운 일을 계획해보는 것을 좋아한다,J,즉흥적으로 어떤 일이든 시도한다,P

25,EI,,시간이 지나면 사람들과 쉽게 친해진다,E,혼자 있는 걸 좋아한다,I
26,SN,,다른 사람들은 자신을 어떻게 볼지 신경 쓴다,S,새로운 일이나 변화에 호기심이 많다,N
27,TF,,의견 충돌이 있는 상황에서도 침착하다,T,성격이 급해지거나 감정적으로 반응하기도 한다,F
28,JP,,친구들 사이에서 일정이나 약속을 잘 챙긴다,J,예정에 없던 일이 생겨도 괜찮다,P

29,EI,,누가 물어보았을 때 자신의 의견을 편하게 말한다,E,누가 물어보면 조심스럽게 대답한다,I
30,SN,,새로운 방식을 배우는 게 어렵지 않다,S,지루해도 새로운 방식에 도전하는 걸 좋아한다,N
31,TF,,성격이 논리적이라는 말을 듣는다,T,감정적으로 공감한다는 말을 자주 듣는다,F
32,JP,,물건이나 장소를 잘 정리한다,J,정돈이 잘 안 되는 편이다,P

33,EI,,새로운 친구를 만나는 것이 즐겁다,E,낯선 사람과 이야기하는 것이 어렵다,I
34,SN,,이불처럼 포근한 감각적 표현을 좋아한다,S,상상 속 장면을 떠올리는 것을 좋아한다,N
35,TF,,친구의 고민을 들으면 해결 방법을 먼저 생각한다,T,친구의 감정을 먼저 공감해준다,F
36,JP,,새로운 계획을 짜는 걸 좋아한다,J,미리 계획하기보다 하고 싶은 일을 먼저 한다,P
